"Table 15. Class of Ownership, Number of Bundled Ultimate Consumers, Revenue, Sales, and",,,,,
                Average Revenue per Kilowatthour for the Commercial Sector by State,,,,,
"                Utility, 2002",,,,,
,,,,,
State,Class of,Number of,Revenue,Sales,Average Revenue
Electric Utility,Ownership,Consumers,(thousand dollars),(thousand kilowatthours),per kilowatthour
,,,,,(cents)
Alabama,,,,,
Alabama Power Co,Investor-Owned,"199,104","882,281","13,356,972",6.61
Albertville Municipal Utils Bd,Publicly Owned,"1,897","7,845","124,496",6.30
Alexander City City of,Publicly Owned,"1,432","1,558","23,507",6.63
Andalusia City of,Publicly Owned,708,"2,904","32,586",8.91
"Arab Electric Cooperative, Inc",Cooperative,"2,654","6,804","95,722",7.11
Athens City of,Publicly Owned,"5,332","14,503","217,045",6.68
Baldwin County El Member Corp,Cooperative,"4,217","21,169","311,723",6.79
Bessemer Utilities City of,Publicly Owned,"1,555","8,979","139,340",6.44
Black Warrior Elec Member Corp,Cooperative,"1,338","5,228","78,390",6.67
Brundidge City of,Publicly Owned,190,416,"5,558",7.48
Central Alabama Electric Coop,Cooperative,"1,384","4,600","58,455",7.87
Cherokee Electric Cooperative,Cooperative,"4,780","7,252","83,590",8.68
Clarke-Washington E M C,Cooperative,703,"1,089","12,671",8.59
Coosa Valley Electric Coop Inc,Cooperative,936,"1,690","19,000",8.89
Courtland City of,Publicly Owned,224,566,"8,452",6.70
"Covington Electric Coop, Inc",Cooperative,"1,175","4,146","50,903",8.14
"Cullman Electric Coop, Inc",Cooperative,"6,937","14,176","180,183",7.87
Cullman Power Board,Publicly Owned,"1,546","9,542","153,206",6.23
Decatur Utilities,Publicly Owned,"3,598","19,252","298,700",6.45
Diverse Power Incorporated,Cooperative,56,298,"3,680",8.10
Dixie Electric Cooperative,Cooperative,"1,896","6,962","86,419",8.06
Dothan City of,Publicly Owned,"4,573","12,411","175,427",7.07
Elba City of,Publicly Owned,328,"1,075","15,795",6.81
Evergreen City of,Publicly Owned,322,"1,982","42,000",4.72
Fairhope City of,Publicly Owned,794,"1,785","22,611",7.89
Florence City of,Publicly Owned,"7,267","25,710","390,433",6.58
Foley Board of Utilities,Publicly Owned,"5,717","18,574","263,387",7.05
Fort Payne Improvement Auth,Publicly Owned,"1,930","12,672","209,389",6.05
Franklin Electric Cooperative,Cooperative,966,"3,943","46,323",8.51
Guntersville Electric Board,Publicly Owned,"1,544","4,468","66,025",6.77
Hartford City of,Publicly Owned,135,494,"7,603",6.50
Hartselle City of,Publicly Owned,"1,079","3,941","58,149",6.78
Huntsville City of,Publicly Owned,"18,538","84,951","1,515,221",5.61
Joe Wheeler Elec Member Corp,Cooperative,"7,580","17,935","222,680",8.05
Lafayette City of,Publicly Owned,213,388,"5,189",7.48
Lanett City of,Publicly Owned,426,880,"9,800",8.98
Luverne City of,Publicly Owned,272,537,"7,542",7.12
Marshall-De Kalb Electric Coop,Cooperative,"2,891","8,569","123,216",6.95
Muscle Shoals City of,Publicly Owned,"1,327","6,041","90,086",6.71
North Alabama Electric Coop,Cooperative,"3,263","4,686","64,156",7.30
Opelika City of,Publicly Owned,"1,288","8,180","138,794",5.89
Opp City of,Publicly Owned,327,563,"6,458",8.72
Pea River Electric Cooperative,Cooperative,"3,053","4,862","59,513",8.17
Piedmont City of,Publicly Owned,228,321,"4,840",6.63
"Pioneer Electric Coop, Inc",Cooperative,"1,384","2,939","28,326",10.38
Robertsdale City of,Publicly Owned,298,570,"8,342",6.83
Russellville City of,Publicly Owned,974,"3,540","53,862",6.57
Sand Mountain Electric Coop,Cooperative,"4,995","11,842","156,727",7.56
Scottsboro City of,Publicly Owned,"1,335","7,311","109,021",6.71
Sheffield Utilities,Publicly Owned,"2,835","9,059","123,219",7.35
Singing River Elec Pwr Assn,Cooperative,13,27,343,7.87
"South Alabama Elec Coop, Inc",Cooperative,701,"2,707","33,722",8.03
"Southern Pine Elec Coop, Inc",Cooperative,"1,648","4,282","56,382",7.59
Sylacauga Utilities Board,Publicly Owned,840,"3,770","46,461",8.11
Tallapoosa River Elec Coop Inc,Cooperative,821,"2,585","33,920",7.62
Tarrant City of,Publicly Owned,461,"2,577","34,688",7.43
"Tombigbee Electric Coop, Inc",Cooperative,"1,333","1,369","15,169",9.02
Troy City of,Publicly Owned,"1,172","1,741","25,071",6.94
Tuscumbia City of,Publicly Owned,586,"1,831","25,427",7.20
Tuskegee City of,Publicly Owned,491,"1,034","11,439",9.04
"Wiregrass Electric Coop, Inc",Cooperative,455,"1,328","18,504",7.18
 State Total,,"326,065","1,304,740","19,665,858",6.63
"Table 15. Class of Ownership, Number of Bundled Ultimate Consumers, Revenue, Sales, and",,,,,
                Average Revenue per Kilowatthour for the Commercial Sector by State,,,,,
"                Utility, 2002",,,,,
,,,,,
State,Class of,Number of,Revenue,Sales,Average Revenue
Electric Utility,Ownership,Consumers,(thousand dollars),(thousand kilowatthours),per kilowatthour
,,,,,(cents)
Alaska,,,,,
Akiachak Native Community Electric Co.,Cooperative,28,209,610,34.26
Alaska Electric Light & Pwr Co,Investor-Owned,"1,403","4,075","49,316",8.26
Alaska Power Co,Investor-Owned,"1,897","7,225","38,859",18.59
"Alaska Village Elec Coop, Inc",Cooperative,357,"3,197","9,205",34.73
Anchorage Municipality of,Publicly Owned,"5,978","54,871","726,683",7.55
Andreanof Electric Corp,Investor-Owned,5,39,79,49.37
Aniak Light & Power Co Inc,Investor-Owned,42,503,"1,158",43.44
"Arctic Utilities, Inc",Investor-Owned,93,"3,444","25,033",13.76
Atmautluak Tribal Utilities,Publicly Owned,6,77,284,27.11
"Barrow Utils & Elec Coop, Inc",Cooperative,303,"1,817","15,400",11.80
Bethel Utilities Corp,Investor-Owned,878,"6,516","28,352",22.98
Birch Creek Village Elec Util,Publicly Owned,4,35,71,49.30
