"Table 16. Class of Ownership, Number of Bundled Ultimate Consumers, Revenue, Sales, and",,,,,
                Average Revenue per Kilowatthour for the Industrial Sector by State,,,,,
"                Utility, 2002",,,,,
,,,,,
State,Class of,Number of,Revenue,Sales,Average Revenue
Electric Utility,Ownership,Consumers,(thousand dollars),(thousand kilowatthours),per kilowatthour
,,,,,(cents)
Alabama,,,,,
"Alabama Electric Cooperative, Inc",Cooperative,1,"4,289","114,570",3.74
Alabama Power Co,Investor-Owned,"4,813","788,425","21,108,226",3.74
Albertville Municipal Utils Bd,Publicly Owned,10,"11,438","272,377",4.20
Alexander City City of,Publicly Owned,71,"2,136","52,216",4.09
Andalusia City of,Publicly Owned,46,"14,726","329,010",4.48
"Arab Electric Cooperative, Inc",Cooperative,2,602,"10,794",5.58
Athens City of,Publicly Owned,13,"5,726","108,885",5.26
Bessemer Utilities City of,Publicly Owned,5,"3,027","47,306",6.40
Brundidge City of,Publicly Owned,15,936,"11,394",8.21
Central Alabama Electric Coop,Cooperative,2,"1,060","20,485",5.17
Cherokee Electric Cooperative,Cooperative,6,"5,431","120,962",4.49
Clarke-Washington E M C,Cooperative,58,"1,810","23,716",7.63
Coosa Valley Electric Coop Inc,Cooperative,77,"2,770","37,000",7.49
Courtland City of,Publicly Owned,1,159,"2,458",6.47
"Covington Electric Coop, Inc",Cooperative,2,516,"11,174",4.62
"Cullman Electric Coop, Inc",Cooperative,13,"9,603","193,994",4.95
Cullman Power Board,Publicly Owned,8,"3,312","61,893",5.35
Decatur Utilities,Publicly Owned,19,"27,876","755,537",3.69
Dixie Electric Cooperative,Cooperative,1,165,"2,707",6.10
Dothan City of,Publicly Owned,149,"17,392","395,664",4.40
Elba City of,Publicly Owned,3,846,"10,655",7.94
Fairhope City of,Publicly Owned,58,"2,654","41,744",6.36
Florence City of,Publicly Owned,14,"7,979","142,259",5.61
Foley Board of Utilities,Publicly Owned,4,"2,789","50,521",5.52
Fort Payne Improvement Auth,Publicly Owned,12,"5,713","114,282",5.00
Franklin Electric Cooperative,Cooperative,3,"6,477","122,989",5.27
Guntersville Electric Board,Publicly Owned,9,"4,603","100,495",4.58
Hartford City of,Publicly Owned,2,64,869,7.36
Hartselle City of,Publicly Owned,2,"1,683","31,950",5.27
Huntsville City of,Publicly Owned,106,"46,737","1,035,464",4.51
Joe Wheeler Elec Member Corp,Cooperative,19,"17,350","351,216",4.94
Lafayette City of,Publicly Owned,22,"3,544","72,652",4.88
Lanett City of,Publicly Owned,18,560,"9,000",6.22
Luverne City of,Publicly Owned,16,722,"12,553",5.75
Marshall-De Kalb Electric Coop,Cooperative,7,"4,516","92,209",4.90
Muscle Shoals City of,Publicly Owned,10,"2,676","48,487",5.52
North Alabama Electric Coop,Cooperative,6,"5,412","125,445",4.31
Opelika City of,Publicly Owned,4,"3,435","75,564",4.55
Opp City of,Publicly Owned,123,"1,960","25,240",7.77
Pea River Electric Cooperative,Cooperative,2,"1,022","17,604",5.81
Piedmont City of,Publicly Owned,36,600,"9,640",6.22
"Pioneer Electric Coop, Inc",Cooperative,4,455,"4,214",10.80
Robertsdale City of,Publicly Owned,79,"1,111","13,521",8.22
Russellville City of,Publicly Owned,2,826,"15,014",5.50
Sand Mountain Electric Coop,Cooperative,7,"4,380","86,079",5.09
Scottsboro City of,Publicly Owned,12,"5,469","129,006",4.24
Sheffield Utilities,Publicly Owned,12,"4,068","72,897",5.58
"South Alabama Elec Coop, Inc",Cooperative,3,"1,300","21,326",6.10
"Southern Pine Elec Coop, Inc",Cooperative,9,"24,051","705,442",3.41
Sylacauga Utilities Board,Publicly Owned,21,"4,258","75,436",5.64
Tallapoosa River Elec Coop Inc,Cooperative,3,"2,425","44,450",5.46
Tarrant City of,Publicly Owned,3,966,"14,097",6.85
Tennessee Valley Authority,Federal,13,"159,124","5,035,798",3.16
Troy City of,Publicly Owned,121,"10,888","194,515",5.60
Tuscumbia City of,Publicly Owned,2,675,"12,186",5.54
Tuskegee City of,Publicly Owned,62,"1,148","14,213",8.08
"Wiregrass Electric Coop, Inc",Cooperative,19,501,"5,940",8.43
 State Total,,"6,160","1,244,386","32,615,340",3.82
"Table 16. Class of Ownership, Number of Bundled Ultimate Consumers, Revenue, Sales, and",,,,,
                Average Revenue per Kilowatthour for the Industrial Sector by State,,,,,
"                Utility, 2002",,,,,
,,,,,
State,Class of,Number of,Revenue,Sales,Average Revenue
Electric Utility,Ownership,Consumers,(thousand dollars),(thousand kilowatthours),per kilowatthour
,,,,,(cents)
Alaska,,,,,
Alaska Electric Light & Pwr Co,Investor-Owned,99,"4,325","59,396",7.28
Chugach Electric Assn Inc,Cooperative,8,"3,132","40,577",7.72
"Cordova Electric Coop, Inc",Cooperative,6,898,"5,936",15.13
Egegik Light & Power Co,Investor-Owned,1,32,112,28.57
"G & K, Inc",Investor-Owned,1,80,173,46.24
Galena Electric Utility,Publicly Owned,35,"1,293","5,132",25.19
Golden Valley Electric Assn Inc,Cooperative,414,"45,634","651,389",7.01
Homer Electric Assn Inc,Cooperative,26,"7,280","164,511",4.43
Ketchikan City of,Publicly Owned,14,"1,379","18,741",7.36
Kodiak Electric Assn Inc,Cooperative,"1,035","13,144","90,172",14.58
Kwig Power Company,Publicly Owned,3,5,15,33.33
Larsen Bay City of,Publicly Owned,12,35,82,42.68
Metlakatla Power & Light,Publicly Owned,1,90,639,14.08
Pelican Utility,Investor-Owned,22,161,"1,244",12.94
Petersburg City of,Publicly Owned,30,"1,532","15,891",9.64
Saint Paul City of,Publicly Owned,16,198,630,31.43
Seward City of,Publicly Owned,56,"2,199","21,236",10.36
Tlingit & Haida Region El Auth,Publicly Owned,48,368,"1,081",34.04
Tuntutuliak Comm Services Assn,Cooperative,1,5,11,45.45
Unalaska City of,Publicly Owned,10,"1,418","10,798",13.13
