"Table 14. Class of Ownership, Number of Bundled Ultimate Consumers, Revenue, Sales, and",,,,,
                 Average Revenue per Kilowatthour for the Residential Sector by State,,,,,
"                 Utility, 2002",,,,,
,,,,,
State,Class of,Number of,Revenue,Sales,Average Revenue
Electric Utility,Ownership,Consumers,(thousand dollars),(thousand kilowatthours),per kilowatthour
,,,,,(cents)
Alabama,,,,,
Alabama Power Co,Investor-Owned,"1,145,030","1,264,431","17,402,645",7.27
Albertville Municipal Utils Bd,Publicly Owned,"7,576","7,222","116,958",6.17
Alexander City City of,Publicly Owned,"5,884","3,558","63,154",5.63
Andalusia City of,Publicly Owned,"3,521","3,792","43,827",8.65
"Arab Electric Cooperative, Inc",Cooperative,"11,670","12,486","186,515",6.69
Athens City of,Publicly Owned,"28,063","31,214","498,740",6.26
Baldwin County El Member Corp,Cooperative,"47,275","51,077","690,615",7.40
Bessemer Utilities City of,Publicly Owned,"10,235","8,722","129,246",6.75
Black Warrior Elec Member Corp,Cooperative,"20,437","18,588","264,885",7.02
Brundidge City of,Publicly Owned,"1,118","1,100","10,837",10.15
Central Alabama Electric Coop,Cooperative,"34,752","41,102","500,950",8.20
Cherokee Electric Cooperative,Cooperative,"16,712","17,300","231,424",7.48
Clarke-Washington E M C,Cooperative,"18,329","18,656","225,133",8.29
Coosa Valley Electric Coop Inc,Cooperative,"14,454","15,460","196,000",7.89
Courtland City of,Publicly Owned,642,616,"9,662",6.38
"Covington Electric Coop, Inc",Cooperative,"19,723","24,943","278,992",8.94
"Cullman Electric Coop, Inc",Cooperative,"32,316","34,569","486,791",7.10
Cullman Power Board,Publicly Owned,"6,579","5,824","93,032",6.26
Decatur Utilities,Publicly Owned,"22,383","21,144","378,010",5.59
Diverse Power Incorporated,Cooperative,549,447,"5,521",8.10
Dixie Electric Cooperative,Cooperative,"15,151","18,806","241,445",7.79
Dothan City of,Publicly Owned,"25,765","24,954","389,196",6.41
Elba City of,Publicly Owned,"1,383","1,413","18,818",7.51
Evergreen City of,Publicly Owned,"1,605","1,498","22,000",6.81
Fairhope City of,Publicly Owned,"5,559","6,091","81,775",7.45
Florence City of,Publicly Owned,"37,524","40,065","624,194",6.42
Foley Board of Utilities,Publicly Owned,"24,965","28,481","437,608",6.51
Fort Payne Improvement Auth,Publicly Owned,"6,072","5,907","94,858",6.23
Franklin Electric Cooperative,Cooperative,"6,579","6,664","80,858",8.24
Guntersville Electric Board,Publicly Owned,"4,640","4,419","70,134",6.30
Hartford City of,Publicly Owned,"1,196",962,"16,282",5.91
Hartselle City of,Publicly Owned,"3,963","3,986","62,947",6.33
Huntsville City of,Publicly Owned,"120,310","123,728","2,147,576",5.76
Joe Wheeler Elec Member Corp,Cooperative,"32,659","41,045","562,521",7.30
Lafayette City of,Publicly Owned,"1,277","1,050","14,482",7.25
Lanett City of,Publicly Owned,"3,033","3,067","30,302",10.12
Luverne City of,Publicly Owned,"1,380","1,055","17,163",6.15
Marshall-De Kalb Electric Coop,Cooperative,"14,729","14,574","224,644",6.49
Muscle Shoals City of,Publicly Owned,"5,203","5,482","87,112",6.29
North Alabama Electric Coop,Cooperative,"14,083","13,751","212,745",6.46
Opelika City of,Publicly Owned,"8,949","7,497","125,433",5.98
Opp City of,Publicly Owned,"2,651","2,942","38,045",7.73
Pea River Electric Cooperative,Cooperative,"13,723","16,552","216,644",7.64
Piedmont City of,Publicly Owned,"1,908","1,880","26,117",7.20
"Pioneer Electric Coop, Inc",Cooperative,"12,341","16,364","157,129",10.41
Robertsdale City of,Publicly Owned,"1,972","2,270","32,102",7.07
Russellville City of,Publicly Owned,"3,774","3,361","52,847",6.36
Sand Mountain Electric Coop,Cooperative,"24,333","23,925","343,717",6.96
Scottsboro City of,Publicly Owned,"6,550","6,867","103,378",6.64
Sheffield Utilities,Publicly Owned,"15,203","16,168","244,516",6.61
Singing River Elec Pwr Assn,Cooperative,217,256,"3,420",7.49
"South Alabama Elec Coop, Inc",Cooperative,"14,717","17,007","200,396",8.49
"Southern Pine Elec Coop, Inc",Cooperative,"18,354","19,248","259,844",7.41
Sylacauga Utilities Board,Publicly Owned,"5,155","4,841","65,900",7.35
Tallapoosa River Elec Coop Inc,Cooperative,"20,469","21,933","270,667",8.10
Tarrant City of,Publicly Owned,"2,762","2,453","34,785",7.05
"Tombigbee Electric Coop, Inc",Cooperative,"8,780","8,564","103,750",8.25
Troy City of,Publicly Owned,"5,520","5,664","80,084",7.07
Tuscumbia City of,Publicly Owned,"3,541","3,285","50,355",6.52
Tuskegee City of,Publicly Owned,"6,735","5,720","75,575",7.57
"Wiregrass Electric Coop, Inc",Cooperative,"18,700","22,349","287,462",7.77
 State Total,,"1,970,678","2,138,395","30,021,763",7.12
"Table 14. Class of Ownership, Number of Bundled Ultimate Consumers, Revenue, Sales, and",,,,,
                 Average Revenue per Kilowatthour for the Residential Sector by State,,,,,
"                 Utility, 2002",,,,,
,,,,,
State,Class of,Number of,Revenue,Sales,Average Revenue
Electric Utility,Ownership,Consumers,(thousand dollars),(thousand kilowatthours),per kilowatthour
,,,,,(cents)
,,,,,(cents)
Alaska,,,,,
Akiachak Native Community Electric Co.,Cooperative,135,147,425,34.59
Akutan City of,Publicly Owned,65,100,400,25.00
Alaska Electric Light & Pwr Co,Investor-Owned,"12,949","12,765","130,648",9.77
Alaska Power Co,Investor-Owned,"4,280","4,465","21,818",20.46
"Alaska Village Elec Coop, Inc",Cooperative,"5,387","11,421","25,378",45.00
Anchorage Municipality of,Publicly Owned,"23,714","14,252","148,174",9.62
Andreanof Electric Corp,Investor-Owned,28,131,136,96.32
Aniak Light & Power Co Inc,Investor-Owned,176,447,924,48.38
Atmautluak Tribal Utilities,Publicly Owned,60,121,259,46.72
"Barrow Utils & Elec Coop, Inc",Cooperative,"1,456","1,166","19,500",5.98
