"Table 16. Class of Ownership, Number of Bundled Ultimate Consumers, Revenue, Sales, and",,,,,,,,
                 Average Retail Price for the Industrial Sector by State,,,,,,,,
"                 Utility, 2003",,,,,,,,
,,,,,,,,
,,,,,,Average Retail,,
,,Class of, Number of , Revenue , Sales ,Price,,
Electric Utility,State,Ownership, Consumers , (thousand dollars) , (megawatthours) ,(cents/kWh),,
Alabama Electric Coop Inc,AL,Cooperative, 1 ," 2,989 "," 63,330 ",4.72,,
Alabama Power Co,AL,Investor Owned," 4,990 "," 844,966 "," 21,599,799 ",3.91,,
Albertville Municipal Utils Bd,AL,Publicly Owned, 10 ," 12,297 "," 276,769 ",4.44,,
Arab Electric Coop Inc,AL,Cooperative, 1 , 378 ," 6,352 ",5.95,,
Central Alabama Electric Coop,AL,Cooperative, 3 ," 1,241 "," 23,235 ",5.34,,
Cherokee Electric Coop,AL,Cooperative, 5 ," 5,503 "," 119,416 ",4.61,,
City of Alexander City,AL,Publicly Owned, 206 ," 2,794 "," 63,114 ",4.43,,
City of Andalusia,AL,Publicly Owned, 47 ," 13,717 "," 302,212 ",4.54,,
City of Athens,AL,Publicly Owned, 12 ," 5,989 "," 107,463 ",5.57,,
City of Bessemer Utilities,AL,Publicly Owned, 4 ," 3,067 "," 48,091 ",6.38,,
City of Brundidge,AL,Publicly Owned, 17 ," 1,961 "," 20,172 ",9.72,,
City of Courtland,AL,Publicly Owned, 1 , 146 ," 2,237 ",6.53,,
City of Dothan,AL,Publicly Owned, 151 ," 18,081 "," 409,805 ",4.41,,
City of Hartselle,AL,Publicly Owned, 2 ," 1,785 "," 31,423 ",5.68,,
City of Lafayette,AL,Publicly Owned, 23 ," 3,593 "," 72,516 ",4.95,,
City of Lanett,AL,Publicly Owned, 16 , 40 ," 7,700 ",0.52,,
City of Luverne,AL,Publicly Owned, 17 , 786 ," 13,939 ",5.64,,
City of Muscle Shoals,AL,Publicly Owned, 9 ," 2,735 "," 46,825 ",5.84,,
City of Opelika,AL,Publicly Owned, 4 ," 3,459 "," 76,394 ",4.53,,
City of Piedmont,AL,Publicly Owned, 41 , 186 ," 3,440 ",5.41,,
City of Robertsdale,AL,Publicly Owned, 82 ," 1,090 "," 14,200 ",7.68,,
City of Russellville,AL,Publicly Owned, 2 , 891 ," 16,249 ",5.48,,
City of Scottsboro,AL,Publicly Owned, 10 ," 5,687 "," 132,428 ",4.29,,
City of Tarrant,AL,Publicly Owned, 3 , 964 ," 12,702 ",7.59,,
City of Troy,AL,Publicly Owned, 120 ," 10,542 "," 179,840 ",5.86,,
City of Tuscumbia,AL,Publicly Owned, 3 , 696 ," 10,796 ",6.45,,
City of Tuskegee,AL,Publicly Owned, 83 ," 4,511 "," 64,910 ",6.95,,
Clarke-Washington E M C,AL,Cooperative, 56 ," 1,822 "," 23,747 ",7.67,,
Coosa Valley Electric Coop Inc,AL,Cooperative, 73 ," 3,256 "," 40,000 ",8.14,,
"Covington Electric Coop, Inc",AL,Cooperative, 2 , 550 ," 11,395 ",4.83,,
"Cullman Electric Coop, Inc",AL,Cooperative, 13 ," 10,131 "," 191,580 ",5.29,,
Cullman Power Board,AL,Publicly Owned, 7 ," 3,173 "," 56,749 ",5.59,,
Decatur Utilities,AL,Publicly Owned, 20 ," 32,642 "," 733,487 ",4.45,,
Dixie Electric Coop,AL,Cooperative, 1 , 231 ," 3,225 ",7.16,,
Elba City of,AL,Publicly Owned, 3 , 746 ," 8,019 ",9.30,,
Fairhope City of,AL,Publicly Owned, 60 ," 2,907 "," 43,162 ",6.74,,
Florence City of,AL,Publicly Owned, 13 ," 8,107 "," 136,322 ",5.95,,
Foley Board of Utilities,AL,Publicly Owned, 4 ," 2,906 "," 49,689 ",5.85,,
Fort Payne Improvement Auth,AL,Publicly Owned, 12 ," 6,103 "," 116,129 ",5.26,,
Franklin Electric Coop,AL,Cooperative, 3 ," 6,455 "," 112,581 ",5.73,,
