"Table 14. Class of Ownership, Number of Bundled Ultimate Consumers, Revenue, Sales, and",,,,,,
                 Average Retail Price for the Residential Sector by State,,,,,,
"                 Utility, 2003",,,,,,
,,,,,,
,,Class of, Number of , Revenue , Sales ,Average Retail
Electric Utility,State,Ownership, Consumers , (thousand dollars) , (megawatthours) ,Price
,,,,,,(cents/kWh)
Alabama Power Co,AL,Investor Owned," 1,154,665 "," 1,276,800 "," 16,959,566 ",7.53
Albertville Municipal Utils Bd,AL,Publicly Owned," 7,627 "," 7,260 "," 115,899 ",6.26
Arab Electric Coop Inc,AL,Cooperative," 11,719 "," 12,484 "," 183,917 ",6.79
Baldwin County El Member Corp,AL,Cooperative," 48,730 "," 54,324 "," 700,468 ",7.76
Black Warrior Elec Member Corp,AL,Cooperative," 20,295 "," 17,401 "," 262,919 ",6.62
Central Alabama Electric Coop,AL,Cooperative," 35,618 "," 44,015 "," 492,510 ",8.94
Cherokee Electric Coop,AL,Cooperative," 16,751 "," 17,489 "," 227,720 ",7.68
City of Alexander City,AL,Publicly Owned," 4,391 "," 3,378 "," 60,334 ",5.60
City of Andalusia,AL,Publicly Owned," 3,540 "," 4,896 "," 41,749 ",11.73
City of Athens,AL,Publicly Owned," 28,538 "," 31,196 "," 490,850 ",6.36
City of Bessemer Utilities,AL,Publicly Owned," 10,162 "," 8,550 "," 125,471 ",6.81
City of Brundidge,AL,Publicly Owned," 1,118 ", 862 ," 12,354 ",6.98
City of Courtland,AL,Publicly Owned, 650 , 594 ," 9,171 ",6.48
City of Dothan,AL,Publicly Owned," 25,900 "," 26,353 "," 412,929 ",6.38
City of Evergreen,AL,Publicly Owned," 1,590 "," 1,447 "," 21,000 ",6.89
City of Hartselle,AL,Publicly Owned," 3,980 "," 3,882 "," 60,291 ",6.44
City of Lafayette,AL,Publicly Owned," 1,305 "," 1,066 "," 13,905 ",7.67
City of Lanett,AL,Publicly Owned," 3,472 "," 3,505 "," 31,280 ",11.21
City of Luverne,AL,Publicly Owned," 1,400 "," 1,052 "," 17,066 ",6.16
City of Muscle Shoals,AL,Publicly Owned," 5,280 "," 5,454 "," 84,789 ",6.43
City of Opelika,AL,Publicly Owned," 8,960 "," 7,270 "," 121,682 ",5.97
City of Piedmont,AL,Publicly Owned," 1,863 "," 2,080 "," 21,370 ",9.73
City of Robertsdale,AL,Publicly Owned," 2,110 "," 2,320 "," 35,505 ",6.53
City of Russellville,AL,Publicly Owned," 3,785 "," 3,356 "," 51,026 ",6.58
City of Scottsboro,AL,Publicly Owned," 6,556 "," 6,735 "," 99,484 ",6.77
City of Tarrant,AL,Publicly Owned," 2,741 "," 2,377 "," 32,930 ",7.22
City of Troy,AL,Publicly Owned," 5,600 "," 6,429 "," 90,860 ",7.08
City of Tuscumbia,AL,Publicly Owned," 3,574 "," 3,214 "," 48,159 ",6.67
City of Tuskegee,AL,Publicly Owned," 6,553 "," 5,910 "," 68,360 ",8.65
Clarke-Washington E M C,AL,Cooperative," 18,355 "," 18,864 "," 220,564 ",8.55
Coosa Valley Electric Coop Inc,AL,Cooperative," 14,574 "," 17,290 "," 194,000 ",8.91
"Covington Electric Coop, Inc",AL,Cooperative," 19,726 "," 25,087 "," 271,293 ",9.25
"Cullman Electric Coop, Inc",AL,Cooperative," 32,551 "," 34,872 "," 480,470 ",7.26
Cullman Power Board,AL,Publicly Owned," 6,541 "," 5,786 "," 91,154 ",6.35
Decatur Utilities,AL,Publicly Owned," 22,376 "," 21,330 "," 368,740 ",5.78
Diverse Power Incorporated,AL,Cooperative, 546 , 403 ," 5,110 ",7.89
Dixie Electric Coop,AL,Cooperative," 15,654 "," 19,675 "," 235,631 ",8.35
Elba City of,AL,Publicly Owned," 1,414 "," 1,397 "," 18,552 ",7.53
Fairhope City of,AL,Publicly Owned," 5,402 "," 7,041 "," 96,249 ",7.32
Florence City of,AL,Publicly Owned," 37,754 "," 39,153 "," 599,620 ",6.53
Foley Board of Utilities,AL,Publicly Owned," 25,880 "," 30,805 "," 433,763 ",7.10
Fort Payne Improvement Auth,AL,Publicly Owned," 6,065 "," 6,018 "," 94,220 ",6.39
Franklin Electric Coop,AL,Cooperative," 6,598 "," 6,454 "," 78,216 ",8.25
Guntersville Electric Board,AL,Publicly Owned," 4,657 "," 4,405 "," 68,767 ",6.41
Hartford City of,AL,Publicly Owned," 1,214 ", 989 ," 16,414 ",6.03
Huntsville City of,AL,Publicly Owned," 122,265 "," 128,755 "," 2,105,833 ",6.11
Joe Wheeler Elec Member Corp,AL,Cooperative," 32,864 "," 41,070 "," 556,980 ",7.37
Marshall-De Kalb Electric Coop,AL,Cooperative," 14,818 "," 14,764 "," 222,299 ",6.64
North Alabama Electric Coop,AL,Cooperative," 14,102 "," 14,267 "," 206,771 ",6.90
Opp City of,AL,Publicly Owned," 2,658 "," 2,988 "," 37,060 ",8.06
Pea River Electric Coop,AL,Cooperative," 13,880 "," 17,209 "," 212,388 ",8.10
"Pioneer Electric Coop, Inc",AL,Cooperative," 12,393 "," 17,133 "," 153,243 ",11.18
Sand Mountain Electric Coop,AL,Cooperative," 24,372 "," 24,124 "," 341,666 ",7.06
Sheffield Utilities,AL,Publicly Owned," 15,233 "," 15,774 "," 235,088 ",6.71
Singing River Elec Pwr Assn,AL,Cooperative, 236 , 281 ," 3,802 ",7.39
"South Alabama Elec Coop, Inc",AL,Cooperative," 14,952 "," 17,371 "," 196,556 ",8.84
"Southern Pine Elec Coop, Inc",AL,Cooperative," 18,361 "," 20,244 "," 252,858 ",8.01
Sylacauga Utilities Board,AL,Publicly Owned," 5,211 "," 4,932 "," 68,430 ",7.21
Tallapoosa River Elec Coop Inc,AL,Cooperative," 20,756 "," 22,453 "," 269,175 ",8.34
"Tombigbee Electric Coop, Inc",AL,Cooperative," 8,804 "," 7,895 "," 101,006 ",7.82
"Wiregrass Electric Coop, Inc",AL,Cooperative," 19,328 "," 24,498 "," 286,936 ",8.54
Akiachak Native Community Electric Co,AK,Cooperative, 135 , 147 , 405 ,36.30
Alaska Electric Light & Pwr Co,AK,Investor Owned," 13,079 "," 12,492 "," 131,006 ",9.54
Alaska Power Co,AK,Investor Owned," 4,323 "," 4,723 "," 22,161 ",21.31
"Alaska Village Elec Coop, Inc",AK,Cooperative," 5,562 "," 11,484 "," 26,343 ",43.59
Anchorage Municipality of,AK,Publicly Owned," 23,778 "," 15,172 "," 149,024 ",10.18
Andreanof Electric Corp,AK,Investor Owned, 28 , 70 , 129 ,54.26
Aniak Light & Power Co Inc,AK,Investor Owned, 177 , 442 , 921 ,47.99
Atmautluak Tribal Utilities,AK,Publicly Owned, 63 , 120 , 258 ,46.51
"Barrow Utils & Elec Coop, Inc",AK,Cooperative," 1,444 "," 1,018 "," 11,000 ",9.25
Bethel Utilities Corp,AK,Investor Owned," 1,547 "," 2,914 "," 10,105 ",28.84
Birch Creek Village Elec Util,AK,Publicly Owned, 25 , 23 , 70 ,32.86
Central Electric Inc,AK,Investor Owned, 124 , 123 , 231 ,53.25
Chitina Electric Inc,AK,Investor Owned, 34 , 42 , 120 ,35.00
Chugach Electric Assn Inc,AK,Cooperative," 65,993 "," 59,643 "," 547,756 ",10.89
