Table 4. Average Retail Price for Bundled and Unbundled,,,,,
"Consumers by Sector, Census Division, and State, 2004",,,,,
,(cents per kilowatthour),,,,
Census Division,Residential,Commercial,Industrial,Transportation,All Sectors
State,,,,,
New England,11.91,10.61,8.22,5.48,10.61
CT,11.63,9.90,7.89,7.25,10.26
MA,11.75,10.99,8.48,4.65,10.77
ME,12.16,9.89,6.56,-,9.69
NH,12.49,10.99,10.01,-,11.37
RI,12.19,10.53,9.37,-,10.96
VT,12.94,11.42,7.96,-,11.02
Middle Atlantic,11.81,10.98,6.62,8.02,10.29
NJ,11.23,9.96,9.03,10.94,10.29
NY,14.54,12.98,7.04,7.92,12.55
PA,9.58,8.51,5.87,7.32,8.00
East North Central,8.28,7.40,4.68,6.14,6.64
IL,8.37,7.54,4.65,5.70,6.80
IN,7.30,6.31,4.13,8.76,5.58
MI,8.33,7.57,4.92,7.89,6.94
OH,8.45,7.75,4.89,9.21,6.89
WI,9.07,7.24,4.93,-,6.88
West North Central,7.57,6.16,4.51,5.87,6.17
IA,8.96,6.75,4.33,-,6.40
KS,7.74,6.45,4.69,-,6.37
MN,7.92,6.31,4.63,6.75,6.24
MO,6.97,5.80,4.62,4.91,6.07
ND,6.79,5.86,4.13,-,5.69
NE,6.96,5.84,4.28,-,5.70
SD,7.65,6.18,4.59,-,6.44
South Atlantic,8.33,6.96,4.78,6.54,7.05
DC,8.00,7.45,4.74,7.37,7.47
DE,8.78,7.44,6.06,-,7.53
FL,8.99,7.61,5.84,7.45,8.16
GA,7.86,6.88,4.43,5.12,6.58
MD,7.80,7.56,5.99,6.46,7.15
NC,8.45,6.70,4.88,-,6.97
SC,8.12,6.91,4.13,-,6.22
VA,7.99,5.88,4.27,6.25,6.43
WV,6.23,5.46,3.83,5.70,5.13
East South Central,7.12,6.89,4.04,11.75,5.83
AL,7.62,7.12,4.15,-,6.08
KY,6.11,5.60,3.34,-,4.63
MS,8.21,7.99,4.83,-,7.00
TN,6.90,7.05,4.46,11.75,6.14
West South Central,9.05,7.54,5.58,7.03,7.47
AR,7.36,5.64,4.16,-,5.67
LA,8.05,7.58,5.82,7.09,7.13
OK,7.72,6.55,4.76,-,6.50
TX,9.73,7.90,5.87,7.02,7.95
Mountain,8.24,7.06,5.05,6.25,6.86
AZ,8.46,7.28,5.35,-,7.45
CO,8.42,6.89,5.11,5.81,6.95
ID,6.10,5.37,3.82,-,4.97
MT,7.86,7.42,4.15,-,6.40
NM,8.67,7.39,5.22,-,7.10
NV,9.69,9.08,7.24,-,8.56
UT,7.21,5.90,4.01,6.57,5.69
WY,7.21,5.98,3.91,-,4.98
Pacific Contiguous,10.33,10.10,7.51,5.82,9.62
CA,12.51,11.53,9.52,5.77,11.45
OR,7.18,6.45,4.43,6.50,6.21
WA,6.37,6.17,4.28,6.44,5.80
Pacific Noncontiguous,15.84,14.02,12.23,-,14.05
AK,12.44,10.99,8.33,-,10.99
HI,18.06,16.19,13.35,-,15.70
U.S. Total,8.97,8.16,5.27,7.13,7.62
