Table 4. Average Retail Price for Bundled and Unbundled,,,,,
" Consumers by Sector, Census Division, and State, 2006",,,,,
                (Cents per kilowatthour),,,,,
Census Division,Residential,Commercial,Industrial,Transportation,All Sectors
State,,,,,
New England, 15.98 , 14.52 , 11.58 , 11.90 , 14.51 
CT, 16.86 , 14.03 , 11.71 , 14.55 , 14.83 
MA, 16.60 , 15.54 , 13.04 , 10.68 , 15.45 
ME, 13.80 , 12.42 , 8.83 , -   , 11.80 
NH, 14.68 , 14.07 , 11.62 , -   , 13.84 
RI, 15.12 , 13.51 , 12.51 , -   , 13.98 
VT, 13.39 , 11.67 , 8.33 , -   , 11.37 
Middle Atlantic, 13.36 , 12.70 , 7.77 , 10.84 , 11.92 
NJ, 12.84 , 11.62 , 10.42 , 9.70 , 11.88 
NY, 16.89 , 15.51 , 9.39 , 11.94 , 15.27 
PA, 10.35 , 8.94 , 6.63 , 7.45 , 8.68 
East North Central, 9.14 , 8.15 , 5.36 , 6.08 , 7.45 
IL, 8.42 , 7.95 , 4.69 , 5.59 , 7.07 
IN, 8.22 , 7.21 , 4.95 , 9.66 , 6.46 
MI, 9.77 , 8.51 , 6.05 , 10.06 , 8.14 
OH, 9.34 , 8.44 , 5.61 , 10.13 , 7.71 
WI, 10.51 , 8.37 , 5.85 , -   , 8.13 
West North Central, 8.12 , 6.62 , 4.94 , 6.91 , 6.65 
IA, 9.63 , 7.29 , 4.92 , 7.05 , 7.01 
KS, 8.25 , 6.96 , 5.20 , -   , 6.89 
MN, 8.70 , 7.02 , 5.29 , 7.95 , 6.98 
MO, 7.44 , 6.08 , 4.58 , 5.75 , 6.30 
ND, 7.14 , 6.30 , 5.00 , -   , 6.21 
NE, 7.41 , 6.19 , 4.56 , -   , 6.07 
SD, 7.83 , 6.47 , 4.84 , -   , 6.70 
South Atlantic, 9.76 , 8.46 , 5.45 , 8.58 , 8.42 
DC, 9.88 , 11.17 , 17.43 , 10.68 , 11.08 
DE, 11.85 , 10.21 , 7.67 , -   , 10.13 
FL, 11.33 , 9.91 , 7.71 , 10.32 , 10.45 
GA, 8.91 , 7.81 , 5.38 , 6.12 , 7.63 
MD, 9.71 , 10.56 , 8.14 , 8.43 , 9.95 
NC, 9.12 , 7.17 , 5.23 , 3.23 , 7.53 
SC, 9.03 , 7.60 , 4.71 , -   , 6.98 
VA, 8.49 , 6.21 , 4.69 , 6.81 , 6.86 
WV, 6.35 , 5.59 , 3.71 , 5.86 , 5.04 
East South Central, 8.16 , 7.90 , 4.81 , 11.18 , 6.78 
AL, 8.75 , 8.18 , 4.90 , -   , 7.07 
KY, 7.02 , 6.44 , 4.05 , -   , 5.43 
MS, 9.66 , 9.37 , 5.94 , -   , 8.33 
TN, 7.75 , 8.00 , 5.17 , 11.18 , 6.97 
West South Central, 11.48 , 9.26 , 7.17 , 8.64 , 9.42 
AR, 8.85 , 6.96 , 5.24 , -   , 6.99 
LA, 9.14 , 9.03 , 6.87 , 14.10 , 8.30 
OK, 8.55 , 7.34 , 5.46 , -   , 7.30 
TX, 12.86 , 9.85 , 7.82 , 8.42 , 10.34 
Mountain, 8.98 , 7.58 , 5.51 , 7.78 , 7.46 
AZ, 9.40 , 8.02 , 5.69 , -   , 8.24 
CO, 9.02 , 7.50 , 5.88 , 7.78 , 7.61 
ID, 6.21 , 5.16 , 3.61 , -   , 4.92 
MT, 8.28 , 7.44 , 5.12 , -   , 6.91 
NM, 9.06 , 7.61 , 5.57 , -   , 7.37 
NV, 11.08 , 10.12 , 8.03 , 9.89 , 9.63 
UT, 7.59 , 6.15 , 4.21 , 7.19 , 5.99 
WY, 7.75 , 6.28 , 4.04 , -   , 5.27 
Pacific Contiguous, 11.62 , 11.22 , 7.85 , 6.30 , 10.62 
CA, 14.33 , 12.90 , 10.09 , 6.29 , 12.82 
OR, 7.48 , 6.77 , 4.85 , 6.40 , 6.53 
WA, 6.82 , 6.63 , 4.44 , 5.93 , 6.14 
Pacific Noncontiguous, 19.94 , 17.18 , 16.41 , -   , 17.82 
AK, 14.83 , 11.93 , 11.54 , -   , 12.84 
HI, 23.35 , 21.42 , 17.96 , -   , 20.72 
 U.S. Total , 10.40 , 9.46 , 6.16 , 9.54 , 8.90 
