Table 4. Average Retail Price for Bundled and Unbundled,,,,,,,
"              Consumers by Sector, Census Division, and State, 2007",,,,,,,
              (Cents per kilowatthour),,,,,,,
 Census Division , Residential , Commercial, Industrial, Transportation, All Sectors,,
      State ,,,,,,,
New England                                       ,16.70,14.71,12.74,10.87,15.08,,
CT,19.11,15.39,12.92,14.18,16.45,,
MA,16.23,15.20,13.03,9.24,15.16,,
ME,16.52,12.94,14.11,-,14.59,,
NH,14.88,13.91,12.27,-,13.98,,
RI,14.05,12.67,12.04,-,13.12,,
VT,14.15,12.29,8.92,-,12.04,,
Middle Atlantic                                   ,13.95,13.22,7.78,10.35,12.31,,
NJ,14.14,12.99,10.08,11.14,13.01,,
NY,17.10,15.92,8.71,10.96,15.22,,
PA,10.95,9.20,6.87,7.72,9.08,,
East North Central                                ,9.74,8.49,5.90,6.84,7.97,,
IL,10.12,8.57,6.61,6.43,8.46,,
IN,8.26,7.29,4.89,10.09,6.50,,
MI,10.21,8.77,6.47,9.76,8.53,,
OH,9.57,8.67,5.76,9.98,7.91,,
WI,10.87,8.71,6.16,-,8.48,,
West North Central                                ,8.31,6.79,5.08,7.25,6.83,,
IA,9.45,7.11,4.74,-,6.83,,
KS,8.19,6.83,5.13,-,6.84,,
MN,9.18,7.48,5.69,8.27,7.44,,
MO,7.69,6.34,4.76,6.16,6.56,,
ND,7.30,6.58,5.24,-,6.42,,
NE,7.59,6.39,4.78,-,6.28,,
SD,8.07,6.61,5.09,-,6.89,,
South Atlantic                                    ,10.03,8.66,5.67,9.39,8.68,,
DC,11.18,12.01,9.32,11.32,11.79,,
DE,13.16,11.21,8.93,-,11.35,,
FL,11.22,9.75,7.76,9.73,10.33,,
GA,9.10,8.07,5.53,6.42,7.86,,
MD,11.89,11.58,9.41,10.15,11.50,,
NC,9.40,7.43,5.47,9.09,7.83,,
SC,9.19,7.74,4.83,-,7.18,,
VA,8.74,6.38,5.07,6.73,7.12,,
WV,6.73,5.85,3.95,6.42,5.34,,
East South Central                                ,8.35,8.07,5.04,10.31,7.01,,
AL,9.32,8.70,5.27,-,7.57,,
KY,7.34,6.76,4.47,-,5.84,,
MS,9.36,8.92,5.75,-,8.03,,
TN,7.84,8.09,5.19,10.31,7.07,,
West South Central                                ,11.15,9.26,7.14,8.65,9.27,,
AR,8.73,6.91,5.25,-,6.96,,
LA,9.37,9.13,6.77,13.91,8.39,,
OK,8.58,7.33,5.41,-,7.29,,
TX,12.34,9.87,7.79,8.40,10.11,,
Mountain                                          ,9.31,7.77,5.68,7.56,7.69,,
AZ,9.66,8.27,6.05,-,8.54,,
CO,9.25,7.62,5.97,7.18,7.76,,
ID,6.36,5.14,3.87,-,5.07,,
MT,8.77,8.10,5.16,-,7.13,,
NM,9.12,7.66,5.60,-,7.44,,
NV,11.82,10.09,8.28,9.98,9.99,,
UT,8.15,6.54,4.52,7.44,6.41,,
WY,7.75,6.25,4.10,-,5.29,,
Pacific Contiguous                                ,11.82,11.19,7.89,8.33,10.71,,
CA,14.42,12.82,9.98,8.37,12.80,,
OR,8.19,7.20,5.06,6.71,7.02,,
WA,7.26,6.55,4.57,5.74,6.37,,
Pacific Noncontiguous                             ,20.56,17.58,16.86,-,18.29,,
AK,15.18,12.19,12.63,-,13.28,,
HI,24.12,21.91,18.38,-,21.29,,
U.S. Total                                        ,10.65,9.65,6.39,9.70,9.13,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
