Table 4. Average Retail Price for Bundled and Unbundled,,,,,,,
"              Consumers by Sector, Census Division, and State, 2010",,,,,,,
              (Cents per kilowatthour),,,,,,,
 Census Division , Residential , Commercial, Industrial, Transportation, All Sectors,,
      State ,,,,,,,
New England                                       ,16.24,14.72,12.98, 8.45 ,14.89,,
Connecticut                                       ,19.25,16.45,14.50, 11.46 ,17.39,,
Maine                                             ,15.71,12.51,9.17, - ,12.84,,
Massachusetts                                     ,14.59,14.53,13.71, 6.46 ,14.26,,
New Hampshire                                     ,16.32,14.26,12.75, - ,14.84,,
Rhode Island                                      ,15.92,13.11,11.82, 13.86 ,14.08,,
Vermont                                           ,15.57,13.44,9.53, - ,13.24,,
Middle Atlantic                                   ,15.81,13.93,8.40, 12.35 ,13.60,,
New Jersey                                        ,16.57,13.89,11.81, 11.91 ,14.68,,
New York                                          ,18.74,16.31,8.78, 13.74 ,16.41,,
Pennsylvania                                      ,12.70,10.10,7.66, 7.92 ,10.31,,
East North Central                                ,11.41,9.36,6.53, 6.93 ,9.08,,
Illinois                                          ,11.52,8.88,6.82, 6.71 ,9.13,,
Indiana                                           ,9.56,8.38,5.87, 9.21 ,7.67,,
Michigan                                          ,12.46,9.81,7.08, 10.65 ,9.88,,
Ohio                                              ,11.32,9.73,6.40, 8.62 ,9.14,,
Wisconsin                                         ,12.65,9.98,6.85, - ,9.78,,
West North Central                                ,9.64,7.87,5.86, 6.95 ,7.93,,
Iowa                                              ,10.42,7.91,5.36, - ,7.66,,
Kansas                                            ,10.03,8.25,6.23, - ,8.35,,
Minnesota                                         ,10.59,8.38,6.29, 7.77 ,8.41,,
Missouri                                          ,9.08,7.50,5.50, 6.14 ,7.78,,
Nebraska                                          ,8.94,7.63,6.00, - ,7.52,,
North Dakota                                      ,8.13,7.21,5.81, - ,7.11,,
South Dakota                                      ,8.97,7.55,6.07, - ,7.82,,
South Atlantic                                    ,10.96,9.29,6.66, 9.38 ,9.61,,
Delaware                                          ,13.80,11.36,9.57, - ,11.97,,
District of Columbia                              ,14.01,13.42,7.78, 11.04 ,13.35,,
Florida                                           ,11.44,9.76,8.85, 8.58 ,10.58,,
Georgia                                           ,10.07,9.06,6.22, 7.46 ,8.87,,
Maryland                                          ,14.32,11.75,9.57, 9.78 ,12.70,,
North Carolina                                    ,10.12,8.16,6.17, 7.09 ,8.67,,
South Carolina                                    ,10.50,8.90,5.74, - ,8.49,,
Virginia                                          ,10.45,7.65,6.66, 7.70 ,8.69,,
West Virginia                                     ,8.79,7.66,5.86, 8.33 ,7.45,,
East South Central                                ,9.58,9.34,5.83, 11.09 ,8.16,,
Alabama                                           ,10.67,10.18,6.01, - ,8.89,,
Kentucky                                          ,8.57,7.88,5.05, - ,6.73,,
Mississippi                                       ,9.87,9.32,6.32, - ,8.59,,
Tennessee                                         ,9.23,9.66,6.58, 11.09 ,8.61,,
West South Central                                ,10.67,8.78,6.12, 9.78 ,8.74,,
Arkansas                                          ,8.86,7.31,5.44, 11.33 ,7.28,,
Louisiana                                         ,8.98,8.50,5.84, 9.46 ,7.80,,
Oklahoma                                          ,9.14,7.45,5.35, - ,7.59,,
Texas                                             ,11.60,9.19,6.44, 9.82 ,9.34,,
Mountain                                          ,10.49,8.75,6.13, 9.10 ,8.59,,
Arizona                                           ,10.97,9.47,6.63, - ,9.69,,
Colorado                                          ,11.04,9.13,6.90, 9.34 ,9.15,,
Idaho                                             ,7.99,6.64,5.15, - ,6.54,,
Montana                                           ,9.16,8.55,5.49, - ,7.88,,
Nevada                                            ,12.36,9.78,7.37, 9.40 ,9.73,,
New Mexico                                        ,10.52,8.57,6.01, - ,8.40,,
Utah                                              ,8.71,7.15,4.93, 8.69 ,6.94,,
Wyoming                                           ,8.77,7.42,4.98, - ,6.20,,
Pacific Contiguous                                ,12.31,11.58,7.47, 8.23 ,10.92,,
California                                        ,14.75,13.10,9.80, 8.27 ,13.01,,
Oregon                                            ,8.87,7.59,5.41, 6.99 ,7.56,,
Washington                                        ,8.04,7.37,4.07, 7.42 ,6.66,,
Pacific Noncontiguous                             ,23.22,20.45,19.88, - ,21.14,,
Alaska                                            ,16.26,13.95,14.14, - ,14.76,,
Hawaii                                            ,28.10,25.93,21.94, - ,25.12,,
U.S. Total                                        ,11.54,10.19,6.77, 10.57 ,9.83,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
