"Table 4. Average retail price for bundled and unbundled consumers by sector, Census Division, and State 2011",,,,,,,
(Cents per kilowatthour),,,,,,,
Census Division , Residential , Commercial, Industrial, Transportation, All Sectors,,
State,,,,,,,
New England                                       ,15.89,14.31,12.55, 7.85 ,14.49,,
Connecticut                                       ,18.11,15.57,13.24, 10.25 ,16.35,,
Maine                                             ,15.38,12.29,8.88, - ,12.58,,
Massachusetts                                     ,14.67,14.33,13.38, 6.14 ,14.11,,
New Hampshire                                     ,16.52,14.04,12.27, - ,14.74,,
Rhode Island                                      ,14.33,12.37,11.27, 14.11 ,13.04,,
Vermont                                           ,16.26,14.00,9.83, - ,13.80,,
Middle Atlantic                                   ,15.80,13.65,8.17, 12.32 ,13.37,,
New Jersey                                        ,16.23,13.47,11.43, 10.69 ,14.30,,
New York                                          ,18.26,15.81,7.83, 13.45 ,15.89,,
Pennsylvania                                      ,13.26,10.03,7.73, 8.93 ,10.45,,
East North Central                                ,11.79,9.49,6.53, 6.92 ,9.22,,
Illinois                                          ,11.78,8.64,6.42, 6.81 ,8.97,,
Indiana                                           ,10.06,8.77,6.17, 9.74 ,8.01,,
Michigan                                          ,13.27,10.33,7.32, 8.53 ,10.40,,
Ohio                                              ,11.42,9.63,6.12, 6.64 ,9.03,,
Wisconsin                                         ,13.02,10.42,7.33, - ,10.21,,
West North Central                                ,10.12,8.23,6.08, 7.52 ,8.26,,
Iowa                                              ,10.46,7.85,5.21, - ,7.56,,
Kansas                                            ,10.65,8.78,6.71, - ,8.89,,
Minnesota                                         ,10.96,8.63,6.47, 8.23 ,8.65,,
Missouri                                          ,9.75,8.04,5.85, 6.90 ,8.32,,
Nebraska                                          ,9.32,7.99,6.43, - ,7.88,,
North Dakota                                      ,8.58,7.61,6.24, - ,7.50,,
South Dakota                                      ,9.35,7.76,6.20, - ,8.05,,
South Atlantic                                    ,11.19,9.46,6.66, 9.03 ,9.74,,
Delaware                                          ,13.70,10.64,8.91, - ,11.48,,
District of Columbia                              ,13.40,12.90,6.89, 10.19 ,12.81,,
Florida                                           ,11.51,9.85,8.55, 8.81 ,10.61,,
Georgia                                           ,11.05,9.87,6.60, 7.94 ,9.61,,
Maryland                                          ,13.31,11.28,8.76, 9.03 ,11.93,,
North Carolina                                    ,10.26,8.13,6.01, 7.04 ,8.64,,
South Carolina                                    ,11.05,9.30,5.94, - ,8.80,,
Virginia                                          ,10.64,7.95,6.49, 8.24 ,8.84,,
West Virginia                                     ,9.39,8.14,6.18, 8.60 ,7.88,,
East South Central                                ,10.14,9.80,6.19, 12.07 ,8.58,,
Alabama                                           ,11.09,10.47,6.25, - ,9.10,,
Kentucky                                          ,9.20,8.49,5.33, - ,7.17,,
Mississippi                                       ,10.17,9.48,6.53, - ,8.78,,
Tennessee                                         ,9.98,10.27,7.23, 12.07 ,9.28,,
West South Central                                ,10.42,8.56,6.00, 9.85 ,8.54,,
Arkansas                                          ,9.02,7.50,5.63, 11.10 ,7.43,,
Louisiana                                         ,8.96,8.44,5.69, 8.33 ,7.68,,
Oklahoma                                          ,9.47,7.60,5.46, - ,7.80,,
Texas                                             ,11.08,8.83,6.24, 10.08 ,9.00,,
Mountain                                          ,10.56,8.86,6.08, 9.48 ,8.63,,
Arizona                                           ,11.08,9.50,6.55, - ,9.71,,
Colorado                                          ,11.27,9.44,7.06, 9.79 ,9.39,,
Idaho                                             ,7.87,6.41,5.10, - ,6.44,,
Montana                                           ,9.75,9.12,5.27, - ,8.23,,
Nevada                                            ,11.61,9.05,6.65, 8.58 ,8.97,,
New Mexico                                        ,11.00,9.07,6.06, - ,8.74,,
Utah                                              ,8.96,7.35,5.10, 9.24 ,7.13,,
Wyoming                                           ,9.11,7.72,5.41, - ,6.58,,
Pacific Contiguous                                ,12.43,11.61,7.62, 8.13 ,11.01,,
California                                        ,14.78,13.05,10.11, 8.14 ,13.05,,
Oregon                                            ,9.54,8.15,5.47, 7.89 ,8.04,,
Washington                                        ,8.28,7.49,4.09, 8.54 ,6.78,,
Pacific Noncontiguous                             ,27.49,24.45,25.02, - ,25.57,,
Alaska                                            ,17.62,15.10,15.71, - ,16.08,,
Hawaii                                            ,34.68,32.37,28.40, - ,31.59,,
U.S. Total                                        ,11.72,10.23,6.82, 10.46 ,9.90,,
