2020 Total Electric Industry- Average Retail Price (cents/kWh),,,,,
"(Data from forms EIA-861- schedules 4A-D, EIA-861S and EIA-861U)",,,,,
State,Residential,Commercial,Industrial,Transportation,Total
New England,21.25,15.84,12.89,8.75,17.73
Connecticut,22.71,16.58,13.07,13.34,19.13
Maine,16.81,12.56,8.86,.,13.54
Massachusetts,21.97,16.03,14.51,6.24,18.19
New Hampshire,19.04,15.41,13.11,.,16.63
Rhode Island,22.01,15.94,15.76,22.23,18.54
Vermont,19.54,16.39,11.20,.,16.33
Middle Atlantic,15.93,12.47,6.38,11.42,12.56
New Jersey,16.03,12.35,10.01,9.19,13.63
New York,18.36,14.56,5.54,12.14,14.87
Pennsylvania,13.58,8.50,6.16,8.58,9.70
East North Central,13.56,10.27,6.78,6.75,10.28
Illinois,13.04,9.15,6.70,6.56,9.75
Indiana,12.83,11.21,6.98,10.21,9.92
Michigan,16.26,11.71,7.24,11.39,12.21
Ohio,12.29,9.53,6.16,6.71,9.44
Wisconsin,14.32,10.75,7.29,14.64,10.82
West North Central,11.96,9.65,7.11,8.62,9.69
Iowa,12.46,9.96,6.43,.,8.97
Kansas,12.85,10.40,7.30,.,10.38
Minnesota,13.17,10.43,7.67,9.40,10.57
Missouri,11.22,8.93,6.84,7.84,9.64
Nebraska,10.80,8.89,7.38,.,8.97
North Dakota,10.44,9.02,7.26,.,8.53
South Dakota,11.75,9.65,7.79,.,10.06
South Atlantic,11.79,9.05,6.25,8.13,9.84
Delaware,12.56,9.18,6.70,.,10.24
District of Columbia,12.63,11.85,7.99,9.60,11.90
Florida,11.27,8.85,7.15,7.69,10.06
Georgia,12.02,10.08,5.77,5.39,9.93
Maryland,13.01,9.72,7.81,7.79,11.15
North Carolina,11.38,8.69,6.31,7.67,9.43
South Carolina,12.78,10.35,5.98,.,9.90
Virginia,12.03,7.63,6.28,8.77,9.16
West Virginia,11.80,9.40,6.09,.,8.75
East South Central,11.34,10.73,5.55,.,9.32
Alabama,12.57,11.55,5.87,.,9.84
Kentucky,10.87,10.34,5.31,.,8.58
Mississippi,11.17,10.38,5.63,.,9.13
Tennessee,10.76,10.56,5.33,.,9.52
West South Central,11.17,7.82,5.06,6.65,8.17
Arkansas,10.41,8.61,5.89,13.32,8.32
Louisiana,9.67,8.85,4.88,8.77,7.51
Oklahoma,10.12,7.82,4.61,.,7.63
Texas,11.71,7.60,5.07,6.52,8.36
Mountain,11.76,9.46,6.25,9.33,9.40
Arizona,12.27,10.11,6.07,9.38,10.44
Colorado,12.36,10.29,7.48,8.64,10.27
Idaho,9.95,7.75,6.23,.,7.99
Montana,11.24,10.51,5.18,.,9.13
Nevada,11.34,7.45,5.61,8.84,8.33
New Mexico,12.94,10.28,5.58,.,9.33
Utah,10.44,8.27,5.90,10.69,8.27
Wyoming,11.11,9.65,6.88,.,8.27
Pacific Contiguous,16.67,15.07,10.30,10.03,14.63
California,20.45,17.53,14.27,10.07,18.00
Oregon,11.17,9.00,5.70,9.46,8.82
Washington,9.87,8.92,5.08,9.93,8.33
Pacific Noncontiguous,27.02,24.13,22.01,.,24.44
Alaska,22.57,19.58,15.88,.,19.82
Hawaii,30.28,28.41,24.45,.,27.55
U.S. Total,13.15,10.59,6.67,9.90,10.59
