"Table 15. Class of Ownership, Number of Bundled Ultimate Consumers, Revenue, Sales, and",,,,,,
                 Average Retail Price for the Commercial Sector by State,,,,,,
"                 Utility, 2003",,,,,,
,,,,,,
,,,,,,Average Retail
,,Class of, Number of , Revenue , Sales ,Price
Electric Utility,State,Ownership, Consumers , (thousand dollars) , (megawatthours) ,(cents/kWh)
Alabama Power Co,AL,Investor Owned," 203,465 "," 929,697 "," 13,648,655 ",6.81
Albertville Municipal Utils Bd,AL,Publicly Owned," 1,936 "," 8,496 "," 130,731 ",6.50
Arab Electric Coop Inc,AL,Cooperative," 2,753 "," 7,515 "," 104,605 ",7.18
Baldwin County El Member Corp,AL,Cooperative," 4,880 "," 25,426 "," 351,695 ",7.23
Black Warrior Elec Member Corp,AL,Cooperative," 6,138 "," 7,771 "," 117,008 ",6.64
Central Alabama Electric Coop,AL,Cooperative," 1,401 "," 4,925 "," 56,857 ",8.66
Cherokee Electric Coop,AL,Cooperative," 4,977 "," 7,960 "," 92,260 ",8.63
City of Alexander City,AL,Publicly Owned, 967 ," 1,537 "," 23,472 ",6.55
City of Andalusia,AL,Publicly Owned, 742 ," 2,941 "," 32,684 ",9.00
City of Athens,AL,Publicly Owned," 5,553 "," 16,007 "," 231,751 ",6.91
City of Bessemer Utilities,AL,Publicly Owned," 1,566 "," 9,630 "," 144,911 ",6.65
City of Brundidge,AL,Publicly Owned, 231 , 441 ," 6,748 ",6.54
City of Courtland,AL,Publicly Owned, 228 , 694 ," 10,618 ",6.54
City of Dothan,AL,Publicly Owned," 5,160 "," 16,564 "," 289,835 ",5.71
City of Evergreen,AL,Publicly Owned, 324 ," 2,088 "," 41,000 ",5.09
City of Hartselle,AL,Publicly Owned," 1,151 "," 3,960 "," 57,499 ",6.89
City of Lafayette,AL,Publicly Owned, 212 , 445 ," 5,526 ",8.05
City of Lanett,AL,Publicly Owned, 442 , 473 ," 8,900 ",5.31
City of Luverne,AL,Publicly Owned, 339 , 721 ," 10,577 ",6.82
City of Muscle Shoals,AL,Publicly Owned," 1,412 "," 6,682 "," 94,240 ",7.09
City of Opelika,AL,Publicly Owned," 1,373 "," 8,403 "," 143,170 ",5.87
City of Piedmont,AL,Publicly Owned, 223 , 838 ," 7,087 ",11.82
City of Robertsdale,AL,Publicly Owned, 318 , 584 ," 6,602 ",8.85
City of Russellville,AL,Publicly Owned," 1,050 "," 3,890 "," 55,339 ",7.03
City of Scottsboro,AL,Publicly Owned," 1,359 "," 8,102 "," 118,015 ",6.87
City of Tarrant,AL,Publicly Owned, 463 ," 2,792 "," 37,540 ",7.44
City of Troy,AL,Publicly Owned," 1,285 "," 2,098 "," 28,614 ",7.33
City of Tuscumbia,AL,Publicly Owned, 602 ," 2,170 "," 28,810 ",7.53
City of Tuskegee,AL,Publicly Owned, 656 ," 1,789 "," 17,070 ",10.48
Clarke-Washington E M C,AL,Cooperative," 1,298 "," 2,312 "," 26,236 ",8.81
Coosa Valley Electric Coop Inc,AL,Cooperative, 953 ," 1,982 "," 22,000 ",9.01
"Covington Electric Coop, Inc",AL,Cooperative," 1,601 "," 5,318 "," 62,325 ",8.53
"Cullman Electric Coop, Inc",AL,Cooperative," 7,199 "," 15,298 "," 190,105 ",8.05
Cullman Power Board,AL,Publicly Owned," 1,599 "," 10,027 "," 156,877 ",6.39
Decatur Utilities,AL,Publicly Owned," 3,659 "," 19,279 "," 302,102 ",6.38
Diverse Power Incorporated,AL,Cooperative, 69 , 293 ," 3,621 ",8.09
Dixie Electric Coop,AL,Cooperative," 2,035 "," 8,386 "," 101,720 ",8.24
Elba City of,AL,Publicly Owned," 1,838 "," 1,191 "," 17,641 ",6.75
Fairhope City of,AL,Publicly Owned, 772 ," 1,964 "," 22,765 ",8.63
Florence City of,AL,Publicly Owned," 7,823 "," 27,049 "," 391,111 ",6.92
